id,title,url,capture_folder_status,reason_class,note
P018,Twist category,https://lettersfortitles.com/category/twist/,absent,archive_index,category surface is registered and its ten entry pages are captured
P016,Alphabet Book archive,https://lettersfortitles.com/tag/alphabet-book/,absent,archive_index,tag surface is registered and all thirty-four entry pages are captured
P015,Rune Casting archive,https://lettersfortitles.com/tag/rune-casting/,absent,archive_index,tag surface is registered and all thirty-one entry pages are captured
P017,Stanzas archive,https://lettersfortitles.com/tag/stanzas/,absent,archive_index,tag surface is registered and all twenty-nine entry pages are captured
P275,Instruction Manual archive,https://lettersfortitles.com/tag/instruction-manual/,absent,archive_index,tag surface is registered and all entry pages are captured
P276,Translation archive,https://lettersfortitles.com/tag/translation/,absent,archive_index,tag surface is registered and all current entry pages are captured
P277,X≠Y≠Z archive,https://lettersfortitles.com/tag/x%E2%89%A0y%E2%89%A0z/,absent,archive_index,tag surface is registered and all entry pages are captured
P278,Code archive,https://lettersfortitles.com/tag/code/,absent,archive_index,tag surface is registered and all entry pages are captured
P279,Rune Code archive,https://lettersfortitles.com/tag/rune-code/,absent,archive_index,tag surface is registered and all entry pages are captured
P280,Duets archive,https://lettersfortitles.com/tag/duets/,absent,archive_index,tag surface is registered and all entry pages are captured
P281,Mathematical Esoterica archive,https://lettersfortitles.com/tag/mathematical-esoterica/,absent,archive_index,tag surface is registered and all entry pages are captured
P282,Riddles archive,https://lettersfortitles.com/tag/riddles/,absent,archive_index,tag surface is registered and all entry pages are captured
P283,Past archive,https://lettersfortitles.com/tag/past/,absent,archive_index,tag surface is registered and all entry pages are captured
P284,Future archive,https://lettersfortitles.com/tag/future/,absent,archive_index,tag surface is registered and all entry pages are captured
P285,Letter archive,https://lettersfortitles.com/tag/letter/,absent,archive_index,tag surface is registered and all entry pages are captured
